id,name,size,price,rating,img,url,subB
prod4128096,SofLens Daily Disposables 90 pack,1.0 Box ,$51.99,4.6,//pics.drugstore.com/prodimg/187957/155.jpg,https://www.walgreens.com/store/c/soflens-daily-disposables-90-pk-soflens-daily-disposables-90-pack/ID=prod4128096-product,SofLens Daily Disposables 90 Pk
prod6257624,Dailies AquaComfort PLUS Multifocal 90 pack,1.0 Box ,$97.99,4.5,//pics.drugstore.com/prodimg/529397/155.jpg,https://www.walgreens.com/store/c/dailies-aquacomfort-plus-dailies-aquacomfort-plus-multifocal-90-pack/ID=prod6257624-product,Dailies AquaComfort PLUS
prod6022299,Acuvue Oasys for Presbyopia,1.0 Box ,$58.24,4.5,//pics.drugstore.com/prodimg/215301/155.jpg,https://www.walgreens.com/store/c/acuvue-oasys-for-presbyopia-acuvue-oasys-for-presbyopia/ID=prod6022299-product,Acuvue Oasys for Presbyopia
prod6382456,Bausch + Lomb ULTRA for Astigmatism,1.0 Box ,$68.99,4.2,//pics.drugstore.com/prodimg/605610/155.jpg,https://www.walgreens.com/store/c/bausch---lomb-ultra-for-astigmatism-bausch---lomb-ultra-for-astigmatism/ID=prod6382456-product,Bausch + Lomb ULTRA for Astigmatism
prod6007157,Dailies AquaComfort PLUS 30 pack,1.0 Box ,$29.99,4.2,//pics.drugstore.com/prodimg/194086/155.jpg,https://www.walgreens.com/store/c/dailies-aquacomfort-plus-dailies-aquacomfort-plus-30-pack/ID=prod6007157-product,Dailies AquaComfort PLUS
prod6229499,Dailies Total 1 30 pack,1.0 Box ,$42.99,4.5,//pics.drugstore.com/prodimg/508663/155.jpg,https://www.walgreens.com/store/c/dailies-total-1-dailies-total-1-30-pack/ID=prod6229499-product,Dailies Total 1
prod6339702,Bausch + Lomb ULTRA for Presbyopia,1.0 Box ,$87.99,4.0,//pics.drugstore.com/prodimg/586710/155.jpg,https://www.walgreens.com/store/c/bausch---lomb-ultra-for-presbyopia-bausch---lomb-ultra-for-presbyopia/ID=prod6339702-product,Bausch + Lomb ULTRA for Presbyopia
prod6365519,Biofinity Energys,1.0 Box ,$60.49,4.4,//pics.drugstore.com/prodimg/601021/155.jpg,https://www.walgreens.com/store/c/biofinity-energys-biofinity-energys/ID=prod6365519-product,Biofinity Energys
prod3898673,Biomedics 55 Premier,1.0 Box ,$33.99,4.5,//pics.drugstore.com/prodimg/151438/155.jpg,https://www.walgreens.com/store/c/biomedics-55-premier-biomedics-55-premier/ID=prod3898673-product,Biomedics 55 Premier
prod3898683,Proclear Compatibles (Proclear Sphere),1.0 Box ,$55.99,4.5,//pics.drugstore.com/prodimg/90796/155.jpg,https://www.walgreens.com/store/c/proclear-sphere-proclear-compatibles-(proclear-sphere)/ID=prod3898683-product,Proclear Sphere
prod6368050,Acuvue Vita for Astigmatism,1.0 Box ,$70.49,4.7,//pics.drugstore.com/prodimg/601967/155.jpg,https://www.walgreens.com/store/c/acuvue-vita-for-astigmatism-6-pk-acuvue-vita-for-astigmatism/ID=prod6368050-product,Acuvue Vita for Astigmatism 6 Pk
prod6257621,Dailies AquaComfort PLUS Toric 30 pack,1.0 Box ,$36.99,3.4,//pics.drugstore.com/prodimg/529380/155.jpg,https://www.walgreens.com/store/c/dailies-aquacomfort-plus-dailies-aquacomfort-plus-toric-30-pack/ID=prod6257621-product,Dailies AquaComfort PLUS
prod6315822,MyDay Daily Disposable 90 pack,1.0 Box ,$91.99,3.7,//pics.drugstore.com/prodimg/566643/155.jpg,https://www.walgreens.com/store/c/myday-daily-90-pk-myday-daily-disposable-90-pack/ID=prod6315822-product,MyDay Daily 90 Pk
prod6365516,Biofinity XR Toric,1.0 Box ,$141.99,4.2,//pics.drugstore.com/prodimg/601014/155.jpg,https://www.walgreens.com/store/c/biofinity-xr-toric-biofinity-xr-toric/ID=prod6365516-product,Biofinity XR Toric
prod6315825,Clariti 1 Day Toric 90 pack,1.0 Box ,$86.99,5.0,//pics.drugstore.com/prodimg/566638/155.jpg,https://www.walgreens.com/store/c/clariti-1-day-toric-90-pk-clariti-1-day-toric-90-pack/ID=prod6315825-product,Clariti 1 Day Toric 90 Pk
prod2301352,SofLens Toric,1.0 Box ,$46.99,4.5,//pics.drugstore.com/prodimg/90772/155.jpg,https://www.walgreens.com/store/c/soflens-for-astigmatism-soflens-toric/ID=prod2301352-product,SofLens For Astigmatism
